name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Bank of America,4.5,(2.6k Reviews),Private,Charlotte + 28 more,24 years old,10k-50k Employees (India)
PNB MetLife,3.7,(1.5k Reviews),Private,"Mumbai,Maharashtra + 226 more",21 years old,5k-10k Employees (India)
Tata AIA Life In...,4,(1.5k Reviews),Private,"Mumbai,Maharashtra + 187 more",21 years old,5k-10k Employees (India)
Apollo Tyres,4.2,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 127 more",50 years old,5k-10k Employees (India)
L&T Technology S...,3.4,(1.5k Reviews),"Vadodara/Baroda,Gujarat + 22 more",10 years old,10k-50k Employees (India),
Kotak Mahindara ...,3.9,(1.5k Reviews),Public,"Mumbai,Maharashtra + 153 more",21 years old,5k-10k Employees (India)
ITC Infotech In...,3.6,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 38 more",22 years old,5k-10k Employees (India)
Eureka Forbes,4,(1.5k Reviews),Private,"Mumbai,Maharashtra + 145 more",40 years old,5k-10k Employees (India)
Landmark Group,4.3,(4.4k Reviews),Private,"Dubai Marina,Dubai + 98 more",49 years old,1k-5k Employees (India)
Ekart Logistics,4.3,(1.5k Reviews),Private,"San Francisco,California + 360 more",13 years old,1k-5k Employees (India)
Lifestyle,4.4,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 87 more",8 years old,10k-50k Employees (India)
Fortis Healthcar...,4,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 51 more",26 years old,5k-10k Employees (India)
Ola Cabs,3.7,(2k Reviews),Private,Bangalore + 82 more,12 years old,10k-50k Employees (India)
HCL Infosystems,3.8,(1.5k Reviews),Public,"Noida,Uttar Pradesh + 98 more",46 years old,10k-50k Employees (India)
Biocon Biologics...,4,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 55 more",44 years old,10k-50k Employees (India)
HDFC Ergo Genera...,4,(1.5k Reviews),Public,"Mumbai,Maharashtra + 162 more",20 years old,1k-5k Employees (India)
Max Healthcare,4.2,(1.5k Reviews),Partnership,"Delhi/NCR,New Delhi + 50 more",21 years old,1k-5k Employees (India)
Pfizer,4.2,(2k Reviews),Public,"Chennai,Tamil Nadu + 91 more",18 years old,1k-5k Employees (India)
JK Cement,4.2,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 177 more",48 years old,1k-5k Employees (India)
